plate,number,temperature,salinity,day,time,origin 
9,1,16,35,0,36.52,med
9,1,16,35,0,40.2,med
9,1,16,35,0,29.13,med
9,1,16,35,0,64.23,med
9,1,16,35,0,35.59,med
9,1,16,35,0,33.34,med
20,1,16,35,0,38.27,med
20,1,16,35,0,27.94,med
20,1,16,35,0,44.63,med
20,1,16,35,0,35.49,med
20,1,16,35,0,38.62,med
20,1,16,35,0,27.33,med
20,2,16,35,0,58.77,med
20,2,16,35,0,36.04,med
20,2,16,35,0,50,med
20,2,16,35,0,78.76,med
20,2,16,35,0,62.2,med
17,1,16,40,0,37.7,med
17,1,16,40,0,23.86,med
17,1,16,40,0,40.17,med
17,1,16,40,0,37.56,med
17,1,16,40,0,42.97,med
17,1,16,40,0,33.07,med
17,2,16,43,0,103.43,med
17,2,16,43,0,58.4,med
17,2,16,43,0,65.24,med
17,2,16,43,0,64,med
17,3,16,43,0,64.62,med
17,3,16,43,0,46.95,med
17,3,16,43,0,86.03,med
17,3,16,43,0,48.83,med
10,1,25,35,0,51.27,med
10,1,25,35,0,58.08,med
10,1,25,35,0,76.76,med
10,1,25,35,0,44.42,med
7,1,25,35,0,58.69,med
7,1,25,35,0,54.62,med
7,1,25,35,0,44.8,med
7,1,25,35,0,22.31,med
7,1,25,35,0,78.74,med
7,1,25,35,0,53.1,med
7,2,25,35,0,71.72,med
7,2,25,35,0,48.95,med
7,2,25,35,0,49.09,med
7,2,25,35,0,40.62,med
7,2,25,35,0,41.45,med
3,1,25,40,0,47.88,med
3,1,25,40,0,46.04,med
3,1,25,40,0,55.55,med
3,1,25,40,0,61.23,med
3,1,25,40,0,31.29,med
27,1,25,40,0,42.13,med
27,1,25,40,0,131.3,med
27,1,25,40,0,103.4,med
27,1,25,40,0,60.68,med
1,1,25,40,0,34.85,med
1,1,25,40,0,13.33,med
1,1,25,40,0,37.27,med
1,1,25,40,0,36.71,med
1,1,25,40,0,30.89,med
1,1,25,40,0,20.06,med
1,2,25,43,0,98.9,med
1,2,25,43,0,107.22,med
30,1,25,43,0,37.18,med
30,1,25,43,0,20.79,med
30,1,25,43,0,39.62,med
30,1,25,43,0,45.34,med
30,1,25,43,0,55.13,med
30,1,25,43,0,49.07,med
11,1,31,35,0,61.75,med
11,1,31,35,0,62.5,med
11,1,31,35,0,44.75,med
11,1,31,35,0,82.19,med
11,1,31,35,0,57.07,med
26,2,31,40,0,57.85,med
26,2,31,40,0,68.31,med
26,2,31,40,0,46.29,med
26,2,31,40,0,37.32,med
26,2,31,40,0,32.58,med
110,1,31,43,0,14.88,med
110,1,31,43,0,57.11,med
110,1,31,43,0,56.95,med
110,1,31,43,0,46.24,med
110,1,31,43,0,35.62,med
110,1,31,43,0,30.41,med
110,2,31,43,0,23.33,med
110,2,31,43,0,40.89,med
110,2,31,43,0,28.3,med
110,2,31,43,0,43.21,med
110,2,31,43,0,58.33,med
110,2,31,43,0,30.54,med
110,3,31,43,0,67.89,med
110,3,31,43,0,68.69,med
110,3,31,43,0,52.14,med
110,3,31,43,0,53.31,med
NA,NA,16,35,7,NA,med
NA,NA,16,40,7,NA,med
NA,NA,16,43,7,NA,med
7,1,25,35,7,50.94,med
7,1,25,35,7,33.72,med
7,1,25,35,7,29.23,med
7,1,25,35,7,45.65,med
7,1,25,35,7,28.79,med
130,1,25,40,7,107.94,med
130,1,25,40,7,46.67,med
130,1,25,40,7,94.27,med
27,1,25,40,7,60.21,med
27,1,25,40,7,61.09,med
27,1,25,40,7,110.82,med
120,1,25,43,7,34.79,med
120,1,25,43,7,60.25,med
120,1,25,43,7,43.28,med
120,1,25,43,7,62.7,med
30,1,25,43,7,27.24,med
30,1,25,43,7,35.19,med
30,1,25,43,7,34.49,med
30,1,25,43,7,47,med
NA,NA,31,35,7,NA,med
NA,NA,31,40,7,NA,med
110,1,31,43,7,77.81,med
110,1,31,43,7,44.09,med
110,1,31,43,7,37.77,med
110,1,31,43,7,43.6,med
110,2,31,43,7,36.22,med
110,2,31,43,7,35.09,med
110,2,31,43,7,46.33,med
110,2,31,43,7,51.19,med
110,2,31,43,7,41.92,med
110,2,31,43,7,66.09,med
NA,NA,16,35,14,NA,med
NA,NA,16,40,14,NA,med
NA,NA,16,43,14,NA,med
112,1,25,35,14,68.61,med
112,1,25,35,14,32.06,med
112,1,25,35,14,63.91,med
130,2,25,40,14,33.06,med
130,2,25,40,14,34.25,med
130,2,25,40,14,30.41,med
130,2,25,40,14,44.4,med
130,2,25,40,14,38.77,med
130,2,25,40,14,31.03,med
27,1,25,40,14,62.35,med
27,1,25,40,14,29.97,med
27,1,25,40,14,23.43,med
27,1,25,40,14,76.77,med
27,1,25,40,14,32.94,med
27,1,25,40,14,36.41,med
5,1,25,43,14,27.88,med
5,1,25,43,14,29.29,med
5,1,25,43,14,31.49,med
5,1,25,43,14,32.07,med
5,1,25,43,14,39.99,med
5,1,25,43,14,25.28,med
NA,NA,31,35,14,NA,med
NA,NA,31,40,14,NA,med
1.1.2,,31,43,14,55.58,med
1.1.2,,31,43,14,40.24,med
1.1.2,,31,43,14,34.92,med
1.1.2,,31,43,14,51.7,med
1.1.2,,31,43,14,45.55,med
NA,NA,16,35,21,NA,med
NA,NA,16,40,21,NA,med
NA,NA,16,43,21,NA,med
NA,NA,25,35,21,NA,med
1,3,25,40,21,28.92,med
1,3,25,40,21,31.24,med
1,3,25,40,21,45.88,med
1,3,25,40,21,60.2,med
1,3,25,40,21,49.77,med
1,3,25,40,21,25.47,med
27,1,25,40,21,49.3,med
27,1,25,40,21,49.68,med
27,1,25,40,21,68.81,med
27,1,25,40,21,66.6,med
5,1,25,43,21,29.58,med
5,1,25,43,21,78.24,med
5,1,25,43,21,47.72,med
5,1,25,43,21,69.11,med
30,1,25,43,21,70.34,med
30,1,25,43,21,71.17,med
30,1,25,43,21,72.29,med
30,1,25,43,21,60.41,med
NA,NA,31,35,21,NA,med
NA,NA,31,40,21,NA,med
NA,NA,31,43,21,NA,med
NA,NA,16,35,28,NA,med
NA,NA,16,40,28,NA,med
NA,NA,16,43,28,NA,med
NA,NA,25,35,28,NA,med
1,3,25,40,28,56.86,med
1,3,25,40,28,49.45,med
1,3,25,40,28,60.85,med
1,3,25,40,28,50.74,med
1,3,25,40,28,36.15,med
5,1,25,43,28,66.85,med
5,1,25,43,28,26.19,med
5,1,25,43,28,76.67,med
5,1,25,43,28,18.6,med
5,1,25,43,28,76.51,med
NA,NA,25,43,28,NA,med
NA,NA,25,43,28,NA,med
NA,NA,31,35,28,NA,med
NA,NA,31,40,28,NA,med
NA,NA,31,43,28,NA,med
1,1,16,35,0,113.14,red
1,1,16,35,0,109.04,red
1,1,16,35,0,68.2,red
1,1,16,35,0,74.71,red
1,1,16,35,0,97.34,red
1,1,16,35,0,42.87,red
15,1,16,35,0,32.17,red
15,1,16,35,0,28.71,red
15,1,16,35,0,41.82,red
15,1,16,35,0,42.42,red
15,2,16,35,0,69.11,red
15,2,16,35,0,83.21,red
15,2,16,35,0,109.15,red
15,2,16,35,0,59.75,red
25,1,16,40,0,71.41,red
25,1,16,40,0,71.22,red
25,1,16,40,0,117.78,red
25,1,16,40,0,61.63,red
4,1,16,40,0,43.43,red
4,1,16,40,0,18.68,red
4,1,16,40,0,25.36,red
4,1,16,40,0,44.87,red
4,1,16,40,0,52.75,red
4,1,16,40,0,97.27,red
10,1,16,43,0,98.05,red
10,1,16,43,0,84.16,red
10,1,16,43,0,37.21,red
10,1,16,43,0,72.92,red
10,1,16,43,0,49.69,red
17,1,16,43,0,57.45,red
17,1,16,43,0,44.82,red
17,1,16,43,0,53.6,red
17,1,16,43,0,52.51,red
17,1,16,43,0,64.5,red
14,1,25,35,0,75.78,red
14,1,25,35,0,103.44,red
14,1,25,35,0,86.56,red
18,1,25,40,0,47.29,red
18,1,25,40,0,51.73,red
18,1,25,40,0,49.2,red
18,1,25,40,0,38.36,red
18,1,25,40,0,60.48,red
18,1,25,40,0,78.41,red
9,1,25,43,0,61.42,red
9,1,25,43,0,83.47,red
9,1,25,43,0,82.64,red
9,1,25,43,0,96.04,red
13,2,31,35,0,65.88,red
13,2,31,35,0,94.42,red
13,2,31,35,0,89.65,red
13,2,31,35,0,62.17,red
13,3,31,35,0,70.08,red
13,3,31,35,0,66.03,red
13,3,31,35,0,75.63,red
13,3,31,35,0,56.63,red
13,3,31,35,0,100.57,red
8,1,31,40,0,59.24,red
8,1,31,40,0,32.15,red
8,1,31,40,0,59.38,red
8,1,31,40,0,41.41,red
8,1,31,40,0,69.76,red
8,1,31,40,0,41.97,red
19,1,31,43,0,71.3,red
19,1,31,43,0,43.69,red
19,1,31,43,0,76.77,red
19,1,31,43,0,78.45,red
19,1,31,43,0,87.77,red
24,1,31,43,0,61.79,red
24,1,31,43,0,53.11,red
24,1,31,43,0,36.02,red
24,1,31,43,0,62.62,red
24,1,31,43,0,97.28,red
24,3,31,43,0,69.81,red
24,3,31,43,0,45.59,red
24,3,31,43,0,66.46,red
24,3,31,43,0,69.45,red
24,3,31,43,0,86.95,red
1,1,16,35,7,112.74,red
1,1,16,35,7,173.43,red
25,1,16,40,7,118.57,red
25,1,16,40,7,106.68,red
4,2,16,40,7,60.6,red
4,2,16,40,7,94.62,red
4.2,2,16,40,7,78.28,red
NA,NA,16,43,7,NA,red
7,1,25,35,7,65.41,red
7,1,25,35,7,109.1,red
7,2,25,35,7,112.9,red
7,2,25,35,7,85.69,red
14,1,25,35,7,39.77,red
14,1,25,35,7,76.8,red
14,1,25,35,7,43.43,red
18,1,25,40,7,57.06,red
18,1,25,40,7,39.45,red
18,1,25,40,7,68.97,red
18,1,25,40,7,43.2,red
18,1,25,40,7,31.91,red
18,1,25,40,7,34.68,red
27,1,25,43,7,59.98,red
27,1,25,43,7,62.21,red
27,1,25,43,7,60.91,red
27,1,25,43,7,35.08,red
27,2,25,43,7,111.69,red
27,2,25,43,7,93.61,red
13,2,31,35,7,72.6,red
13,2,31,35,7,62.03,red
13,2,31,35,7,57.07,red
13,2,31,35,7,51.57,red
13,3,31,35,7,50.11,red
13,3,31,35,7,49.51,red
13,3,31,35,7,46.34,red
13,3,31,35,7,66.28,red
8,1,31,40,7,63.3,red
8,1,31,40,7,90.24,red
8,1,31,40,7,62.98,red
12,1,31,40,7,99.55,red
12,1,31,40,7,61.01,red
12,1,31,40,7,46.37,red
24,3,31,43,7,30.56,red
24,3,31,43,7,31.79,red
24,3,31,43,7,53.78,red
24,3,31,43,7,26.16,red
