temperature,salinity,origin,plate,larvae,settled,unfertilized,undeveloped/abnormal,total,success
31,28,Singapore,1,0,0,3,8,11,0
31,28,Singapore,2,0,0,4,6,10,0
31,28,Singapore,3,0,0,3,8,11,0
31,28,Singapore,4,0,0,2,9,11,0
31,28,Singapore,5,0,0,7,6,13,0
31,28,Singapore,6,0,0,6,6,12,0
31,31,Singapore,1,4,4,3,0,11,72.72727273
31,31,Singapore,2,1,7,1,2,11,72.72727273
31,31,Singapore,3,2,4,3,1,10,60
31,31,Singapore,4,2,5,1,2,10,70
31,31,Singapore,5,5,4,4,0,13,69.23076923
31,31,Singapore,6,2,4,2,2,10,60
31,35,Singapore,1,1,0,7,2,10,10
31,35,Singapore,2,5,0,4,3,12,41.66666667
31,35,Singapore,3,5,4,1,1,11,81.81818182
31,35,Singapore,4,4,0,4,3,11,36.36363636
31,35,Singapore,5,5,1,6,1,13,46.15384615
31,35,Singapore,6,4,2,5,1,12,50
31,40,Singapore,1,0,0,10,0,10,0
31,40,Singapore,2,0,0,9,2,11,0
31,40,Singapore,3,0,0,10,0,10,0
31,40,Singapore,4,0,0,10,2,12,0
31,40,Singapore,5,0,0,10,2,12,0
31,40,Singapore,6,0,0,12,0,12,0
25,28,Singapore,1,0,0,8,3,11,0
25,28,Singapore,2,0,0,8,2,10,0
25,28,Singapore,3,0,0,12,0,12,0
25,28,Singapore,4,0,0,10,0,10,0
25,28,Singapore,5,0,0,8,2,10,0
25,28,Singapore,6,0,0,10,0,10,0
25,31,Singapore,1,2,4,3,4,13,46.15384615
25,31,Singapore,2,4,0,3,3,10,40
25,31,Singapore,3,4,3,3,3,13,53.84615385
25,31,Singapore,4,0,2,1,4,7,28.57142857
25,31,Singapore,5,6,5,4,3,18,61.11111111
25,31,Singapore,6,5,3,3,3,14,57.14285714
25,35,Singapore,1,3,1,1,6,11,36.36363636
25,35,Singapore,2,3,0,2,5,10,30
25,35,Singapore,3,4,0,3,6,13,30.76923077
25,35,Singapore,4,7,1,3,4,15,53.33333333
25,35,Singapore,5,2,0,5,3,10,20
25,35,Singapore,6,3,0,1,6,10,30
25,40,Singapore,1,0,0,10,0,10,0
25,40,Singapore,2,0,0,10,0,10,0
25,40,Singapore,3,0,0,12,0,12,0
25,40,Singapore,4,0,0,10,0,10,0
25,40,Singapore,5,0,0,15,0,15,0
25,40,Singapore,6,0,0,15,0,15,0
16,28,Singapore,1,0,0,7,3,10,0
16,28,Singapore,2,0,0,10,0,10,0
16,28,Singapore,3,0,0,10,0,10,0
