Temperature,Salinity,Origin,Plate,Success
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,1,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,2,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,3,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,4,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,5,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,28,Singapore,6,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,1,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,2,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,3,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,4,0
16,31,Singapore,5,0
16,31,Singapore,5,0
