Temperature,Salinity,Day,Survival ,Origin
16,35,0,100,Red
16,40,0,100,Red
16,43,0,100,Red
25,35,0,100,Red
25,40,0,100,Red
25,43,0,100,Red
31,35,0,100,Red
31,40,0,100,Red
31,43,0,100,Red
16,35,1,100,Red
16,40,1,100,Red
16,43,1,50,Red
25,35,1,100,Red
25,40,1,60,Red
25,43,1,80,Red
31,35,1,83,Red
31,40,1,100,Red
31,43,1,100,Red
16,35,3,100,Red
16,40,3,100,Red
16,43,3,50,Red
25,35,3,80,Red
25,40,3,40,Red
25,43,3,80,Red
31,35,3,83,Red
31,40,3,100,Red
31,43,3,83,Red
16,35,5,60,Red
16,40,5,80,Red
16,43,5,33,Red
25,35,5,80,Red
25,40,5,20,Red
25,43,5,80,Red
31,35,5,83,Red
31,40,5,100,Red
31,43,5,83,Red
16,35,7,60,Red
16,40,7,80,Red
16,43,7,17,Red
25,35,7,80,Red
25,40,7,20,Red
25,43,7,80,Red
31,35,7,83,Red
31,40,7,100,Red
31,43,7,67,Red
16,35,10,20,Red
16,40,10,40,Red
16,43,10,0,Red
25,35,10,80,Red
25,40,10,20,Red
25,43,10,80,Red
31,35,10,83,Red
31,40,10,100,Red
31,43,10,67,Red
16,35,12,0,Red
16,40,12,20,Red
16,43,12,0,Red
25,35,12,80,Red
25,40,12,20,Red
25,43,12,80,Red
31,35,12,83,Red
31,40,12,100,Red
31,43,12,67,Red
16,35,14,0,Red
16,40,14,20,Red
16,43,14,0,Red
25,35,14,80,Red
25,40,14,20,Red
25,43,14,80,Red
31,35,14,83,Red
31,40,14,100,Red
31,43,14,67,Red
16,35,17,0,Red
16,40,17,20,Red
16,43,17,0,Red
25,35,17,80,Red
25,40,17,20,Red
25,43,17,80,Red
31,35,17,83,Red
31,40,17,100,Red
31,43,17,67,Red
16,35,19,0,Red
16,40,19,20,Red
16,43,19,0,Red
25,35,19,80,Red
25,40,19,20,Red
25,43,19,80,Red
31,35,19,67,Red
31,40,19,100,Red
31,43,19,67,Red
16,35,21,0,Red
16,40,21,20,Red
16,43,21,0,Red
25,35,21,80,Red
25,40,21,20,Red
25,43,21,80,Red
31,35,21,67,Red
31,40,21,100,Red
31,43,21,67,Red
16,35,24,0,Red
16,40,24,20,Red
16,43,24,0,Red
25,35,24,80,Red
25,40,24,20,Red
25,43,24,80,Red
31,35,24,50,Red
31,40,24,100,Red
31,43,24,67,Red
16,35,26,0,Red
16,40,26,20,Red
16,43,26,0,Red
25,35,26,60,Red
25,40,26,20,Red
25,43,26,80,Red
31,35,26,50,Red
31,40,26,100,Red
31,43,26,67,Red
16,35,28,0,Red
16,40,28,0,Red
16,43,28,0,Red
25,35,28,40,Red
25,40,28,20,Red
25,43,28,80,Red
31,35,28,50,Red
31,40,28,100,Red
31,43,28,67,Red
16,35,0,100,Med
16,40,0,100,Med
16,43,0,100,Med
25,35,0,100,Med
25,40,0,100,Med
25,43,0,100,Med
31,35,0,100,Med
31,40,0,100,Med
31,43,0,100,Med
16,35,1,60,Med
16,40,1,100,Med
16,43,1,100,Med
25,35,1,83,Med
25,40,1,80,Med
25,43,1,80,Med
31,35,1,17,Med
31,40,1,100,Med
31,43,1,80,Med
16,35,3,60,Med
16,40,3,100,Med
16,43,3,100,Med
25,35,3,50,Med
25,40,3,80,Med
25,43,3,80,Med
31,35,3,0,Med
31,40,3,80,Med
31,43,3,60,Med
16,35,5,0,Med
16,40,5,40,Med
16,43,5,60,Med
25,35,5,17,Med
25,40,5,60,Med
25,43,5,80,Med
31,35,5,0,Med
31,40,5,80,Med
31,43,5,60,Med
16,35,7,0,Med
16,40,7,40,Med
16,43,7,40,Med
25,35,7,17,Med
25,40,7,60,Med
25,43,7,80,Med
31,35,7,0,Med
31,40,7,80,Med
31,43,7,60,Med
16,35,10,0,Med
16,40,10,0,Med
16,43,10,20,Med
25,35,10,17,Med
25,40,10,60,Med
25,43,10,80,Med
31,35,10,0,Med
31,40,10,60,Med
31,43,10,60,Med
16,35,12,0,Med
