number,temperature,salinity,day,event,censored,origin ,aquaria
1,16,35,1,1,0,med,1
2,16,35,1,1,0,med,1
3,16,35,5,1,0,med,1
4,16,35,5,1,0,med,1
5,16,35,5,1,0,med,1
6,16,40,5,1,0,med,2
7,16,40,5,1,0,med,2
8,16,40,5,1,0,med,2
9,16,40,10,1,0,med,2
10,16,40,10,1,0,med,2
11,16,43,5,1,0,med,3
12,16,43,5,1,0,med,3
13,16,43,7,1,0,med,3
14,16,43,10,1,0,med,3
15,16,43,12,1,0,med,3
16,25,35,1,1,0,med,4
17,25,35,3,1,0,med,4
18,25,35,3,1,0,med,4
19,25,35,5,1,0,med,4
20,25,35,5,1,0,med,4
21,25,35,14,1,0,med,4
22,25,40,1,1,0,med,5
23,25,40,5,1,0,med,5
24,25,40,26,1,0,med,5
25,25,40,28,0,1,med,5
26,25,40,28,0,1,med,5
27,25,43,1,1,0,med,6
28,25,43,19,1,0,med,6
29,25,43,28,0,1,med,6
30,25,43,28,0,1,med,6
31,25,43,28,0,1,med,6
32,31,35,1,1,0,med,7
33,31,35,1,1,0,med,7
34,31,35,1,1,0,med,7
35,31,35,1,1,0,med,7
36,31,35,1,1,0,med,7
37,31,35,3,1,0,med,7
38,31,40,3,1,0,med,8
39,31,40,10,1,0,med,8
40,31,40,12,1,0,med,8
41,31,40,19,1,0,med,8
42,31,40,24,1,0,med,8
43,31,43,1,1,0,med,9
44,31,43,3,1,0,med,9
45,31,43,28,0,1,med,9
46,31,43,28,0,1,med,9
47,31,43,28,0,1,med,9
48,16,35,5,1,0,red,10
49,16,35,5,1,0,red,10
50,16,35,10,1,0,red,10
51,16,35,10,1,0,red,10
52,16,35,12,1,0,red,10
53,16,40,5,1,0,red,11
54,16,40,10,1,0,red,11
55,16,40,10,1,0,red,11
56,16,40,12,1,0,red,11
57,16,40,28,1,0,red,11
58,16,43,1,1,0,red,12
59,16,43,1,1,0,red,12
60,16,43,1,1,0,red,12
61,16,43,5,1,0,red,12
62,16,43,5,1,0,red,12
63,16,43,7,1,0,red,12
64,25,35,3,1,0,red,13
65,25,35,26,1,0,red,13
66,25,35,28,1,0,red,13
67,25,35,28,0,1,red,13
68,25,35,28,0,1,red,13
69,25,40,1,1,0,red,14
70,25,40,1,1,0,red,14
71,25,40,3,1,0,red,14
72,25,40,5,1,0,red,14
73,25,40,28,0,1,red,14
74,25,43,1,1,0,red,15
75,25,43,28,0,1,red,15
76,25,43,28,0,1,red,15
77,25,43,28,0,1,red,15
78,25,43,28,0,1,red,15
79,31,35,1,1,0,red,16
80,31,35,19,1,0,red,16
81,31,35,24,1,0,red,16
82,31,35,28,0,1,red,16
83,31,35,28,0,1,red,16
84,31,35,28,0,1,red,16
85,31,40,28,0,1,red,17
86,31,40,28,0,1,red,17
87,31,40,28,0,1,red,17
88,31,40,28,0,1,red,17
89,31,40,28,0,1,red,17
90,31,40,28,0,1,red,17
91,31,43,3,1,0,red,18
92,31,43,7,1,0,red,18
93,31,43,28,0,1,red,18
94,31,43,28,0,1,red,18
95,31,43,28,0,1,red,18
96,31,43,28,0,1,red,18
97,16,28,5,1,0,Singapore,19
98,16,28,5,1,0,Singapore,19
99,16,28,5,1,0,Singapore,19
100,16,28,7,1,0,Singapore,19
101,16,28,10,1,0,Singapore,19
102,16,28,5,1,0,Singapore,19
103,16,28,5,1,0,Singapore,19
104,16,28,5,1,0,Singapore,19
105,16,28,5,1,0,Singapore,19
106,16,28,7,1,0,Singapore,19
107,16,28,5,1,0,Singapore,19
108,16,28,5,1,0,Singapore,19
109,16,28,5,1,0,Singapore,19
110,16,28,7,1,0,Singapore,19
111,16,28,7,1,0,Singapore,19
112,16,31,3,1,0,Singapore,20
113,16,31,3,1,0,Singapore,20
114,16,31,5,1,0,Singapore,20
115,16,31,7,1,0,Singapore,20
116,16,31,26,1,0,Singapore,20
117,16,31,5,1,0,Singapore,20
118,16,31,5,1,0,Singapore,20
119,16,31,26,1,0,Singapore,20
120,16,31,26,1,0,Singapore,20
121,16,31,26,1,0,Singapore,20
122,16,31,5,1,0,Singapore,20
123,16,31,5,1,0,Singapore,20
124,16,31,7,1,0,Singapore,20
125,16,31,7,1,0,Singapore,20
126,16,31,10,1,0,Singapore,20
127,16,35,3,1,0,Singapore,21
128,16,35,5,1,0,Singapore,21
129,16,35,5,1,0,Singapore,21
130,16,35,10,1,0,Singapore,21
131,16,35,12,1,0,Singapore,21
132,16,35,5,1,0,Singapore,21
133,16,35,5,1,0,Singapore,21
134,16,35,28,0,1,Singapore,21
135,16,35,28,0,1,Singapore,21
136,16,35,28,0,1,Singapore,21
137,16,35,3,1,0,Singapore,21
138,16,35,3,1,0,Singapore,21
139,16,35,5,1,0,Singapore,21
140,16,35,28,0,1,Singapore,21
141,16,35,28,0,1,Singapore,21
142,16,40,5,1,0,Singapore,22
143,16,40,7,1,0,Singapore,22
144,16,40,10,1,0,Singapore,22
145,16,40,17,1,0,Singapore,22
146,16,40,28,0,1,Singapore,22
147,16,40,5,1,0,Singapore,22
148,16,40,5,1,0,Singapore,22
149,16,40,28,0,1,Singapore,22
150,16,40,28,0,1,Singapore,22
151,16,40,28,0,1,Singapore,22
152,16,40,5,1,0,Singapore,22
153,16,40,5,1,0,Singapore,22
154,16,40,28,0,1,Singapore,22
155,16,40,28,0,1,Singapore,22
156,16,40,28,0,1,Singapore,22
157,25,28,28,0,1,Singapore,23
158,25,28,28,0,1,Singapore,23
159,25,28,28,0,1,Singapore,23
160,25,28,28,0,1,Singapore,23
161,25,28,28,0,1,Singapore,23
